qs:id,wd:id,dbp:id,nyt:id,tgn:id,wk:page,icao:code,wof:id,mzb:id,gp:id,fct:id,faa:code,iata:code,gn:id,loc:id,fb:id,oa:id,fst:id,dmoz:id,gnd:id,mesh:id,psh:id
103304,http://www.wikidata.org/entity/Q2,,,,,,0,,1,,,,6295630,sh85040427,,,1860481,Science/Astronomy/Solar_System/Planets/Earth/,4015139-6,D018534,499
,,,,,,,85801201,,970398,,,,,,,,,,,,
1323960,,,,,,,85900001,,691080,,,,2841371,,,,,,,,
1105429,Q5429146,,,,,,85773503,,7225301,,,,8348126,,,,,,,,
1103307,,,,,,,85801209,,970410,,,,,,,,,,,,
9,,,,,,,101954001,,,,,,6317660,,,,,,,,
1351409,,,,,,,85900003,,691081,,,,2841370,,,,,,,,
1114863,,,,,,,85801215,,970630,,,,2796571,,,,,,,,
994277,,,,,,,85900007,,691142,,,,2841256,,,,,,,,
17025,Q6722652,,,,,,85773507,,7225302,,,,7302189,,,,,,,,
186864,,,,,,,85801229,,970757,,,,2796418,,,,,,,,
40606,,,,,,,85900009,,691293,,,,2840860,,,,,,,,
1178924,Q5604771,,,,,,85773521,,7225308,,,,8349176,,,,,,,,
245288,,,,,,,102003001,,2120807,,,,562322,,,,,,,,
,,,,,,,102001001,,117646,01ae9b26-8f76-11e1-848f-cfd5bf3ef515,,,3530088,,,,,,,,
268614,Q6794454,,,,,,85773525,,7225309,,,,8348684,,,,,,,,
,,,,,,,102003005,,,,,,471803,,,,,,,,
223045,,,,,,,85801235,,970860,,,,2796249,,,,,,,,
1178928,Q280549,,,,,,85773531,,7225311,,,,8349446,,,,,,,,
,,,,,,,102004001,,,,,,535703,,,,,,,,
888317,Q105243,,,,,,102003009,,2120339,,,,575560,,,,,,,,
246510,,,,,,,85773535,,7225312,,,,8349312,,,,,,,,
232469,Q3846365,,,,,,102001007,,124048,01b7afea-8f76-11e1-848f-cfd5bf3ef515,,,3527431,,,,,,,,
1169818,Q155285,,,,,,85801243,,970930,,,,2795774,,,,,,,,
124886,,,,,,,102004003,,2123375,,,,496269,,,,,,,,
